age,job,marital,education,default,housing,loan,contact,month,poutcome,y
58,management,married,tertiary,no,yes,no,unknown,may,unknown,no
44,technician,single,secondary,no,yes,no,unknown,may,unknown,no
33,entrepreneur,married,secondary,no,yes,yes,unknown,may,unknown,no
47,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
33,unknown,single,unknown,no,no,no,unknown,may,unknown,no
35,management,married,tertiary,no,yes,no,unknown,may,unknown,no
28,management,single,tertiary,no,yes,yes,unknown,may,unknown,no
42,entrepreneur,divorced,tertiary,yes,yes,no,unknown,may,unknown,no
58,retired,married,primary,no,yes,no,unknown,may,unknown,no
43,technician,single,secondary,no,yes,no,unknown,may,unknown,no
41,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
29,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
53,technician,married,secondary,no,yes,no,unknown,may,unknown,no
58,technician,married,unknown,no,yes,no,unknown,may,unknown,no
57,services,married,secondary,no,yes,no,unknown,may,unknown,no
51,retired,married,primary,no,yes,no,unknown,may,unknown,no
45,admin.,single,unknown,no,yes,no,unknown,may,unknown,no
57,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
60,retired,married,primary,no,yes,no,unknown,may,unknown,no
33,services,married,secondary,no,yes,no,unknown,may,unknown,no
28,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
56,management,married,tertiary,no,yes,no,unknown,may,unknown,no
32,blue-collar,single,primary,no,yes,yes,unknown,may,unknown,no
25,services,married,secondary,no,yes,no,unknown,may,unknown,no
40,retired,married,primary,no,yes,yes,unknown,may,unknown,no
44,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
39,management,single,tertiary,no,yes,no,unknown,may,unknown,no
52,entrepreneur,married,secondary,no,yes,yes,unknown,may,unknown,no
46,management,single,secondary,no,yes,no,unknown,may,unknown,no
36,technician,single,secondary,no,yes,yes,unknown,may,unknown,no
57,technician,married,secondary,no,no,yes,unknown,may,unknown,no
49,management,married,tertiary,no,yes,no,unknown,may,unknown,no
60,admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
59,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
51,management,married,tertiary,no,yes,no,unknown,may,unknown,no
57,technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
25,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
53,technician,married,secondary,no,no,no,unknown,may,unknown,no
36,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
37,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
44,services,divorced,secondary,no,yes,no,unknown,may,unknown,no
50,management,married,secondary,no,yes,no,unknown,may,unknown,no
60,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
54,retired,married,secondary,no,yes,no,unknown,may,unknown,no
58,retired,married,unknown,no,yes,no,unknown,may,unknown,no
36,admin.,single,primary,no,yes,no,unknown,may,unknown,no
58,self-employed,married,tertiary,no,yes,no,unknown,may,unknown,no
44,technician,married,secondary,no,yes,no,unknown,may,unknown,no
55,technician,divorced,secondary,no,no,no,unknown,may,unknown,no
29,management,single,tertiary,no,yes,no,unknown,may,unknown,no
54,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
48,management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
32,management,married,tertiary,no,yes,no,unknown,may,unknown,no
42,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
24,technician,single,secondary,no,yes,yes,unknown,may,unknown,no
38,entrepreneur,single,tertiary,no,no,yes,unknown,may,unknown,no
38,management,single,tertiary,no,yes,no,unknown,may,unknown,no
47,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
40,blue-collar,single,unknown,no,yes,no,unknown,may,unknown,no
46,services,married,primary,no,yes,no,unknown,may,unknown,no
32,admin.,married,tertiary,no,yes,no,unknown,may,unknown,no
53,technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
57,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
33,services,married,secondary,no,yes,no,unknown,may,unknown,no
49,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
51,management,married,tertiary,no,yes,no,unknown,may,unknown,no
60,retired,married,tertiary,no,no,no,unknown,may,unknown,no
59,management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
55,technician,married,secondary,no,yes,no,unknown,may,unknown,no
35,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,no
57,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
31,services,married,secondary,no,yes,yes,unknown,may,unknown,no
54,management,married,secondary,no,yes,yes,unknown,may,unknown,no
55,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
43,technician,married,secondary,no,yes,no,unknown,may,unknown,no
53,technician,married,secondary,no,yes,no,unknown,may,unknown,no
44,blue-collar,married,secondary,no,no,yes,unknown,may,unknown,no
55,services,divorced,secondary,no,no,no,unknown,may,unknown,no
49,services,divorced,secondary,no,yes,yes,unknown,may,unknown,no
55,services,divorced,secondary,yes,yes,no,unknown,may,unknown,no
45,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
47,services,divorced,secondary,no,no,no,unknown,may,unknown,no
42,technician,single,secondary,no,yes,no,unknown,may,unknown,no
59,admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
46,self-employed,married,tertiary,no,yes,yes,unknown,may,unknown,no
51,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
56,admin.,married,secondary,no,no,no,unknown,may,unknown,yes
41,technician,married,secondary,no,yes,no,unknown,may,unknown,yes
46,management,divorced,secondary,no,yes,yes,unknown,may,unknown,no
57,retired,married,secondary,no,yes,no,unknown,may,unknown,no
42,management,single,secondary,no,no,no,unknown,may,unknown,no
30,technician,married,secondary,no,yes,yes,unknown,may,unknown,no
60,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
60,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
57,entrepreneur,divorced,secondary,no,no,no,unknown,may,unknown,no
36,management,married,tertiary,no,yes,yes,unknown,may,unknown,no
55,blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
60,retired,married,tertiary,no,yes,no,unknown,may,unknown,no
39,technician,married,secondary,no,yes,no,unknown,may,unknown,no
46,management,married,tertiary,no,yes,no,unknown,may,unknown,no
44,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
53,blue-collar,married,primary,no,no,no,unknown,may,unknown,no
52,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
59,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
27,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
44,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
47,technician,married,tertiary,no,yes,no,unknown,may,unknown,no
34,admin.,married,secondary,no,no,yes,unknown,may,unknown,no
59,retired,single,secondary,no,yes,no,unknown,may,unknown,no
45,management,married,tertiary,no,yes,no,unknown,may,unknown,no
29,services,divorced,secondary,no,yes,no,unknown,may,unknown,no
46,technician,divorced,secondary,no,no,no,unknown,may,unknown,no
56,self-employed,married,primary,no,yes,yes,unknown,may,unknown,no
36,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
59,retired,divorced,primary,no,yes,no,unknown,may,unknown,no
44,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
41,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
33,management,single,tertiary,no,yes,no,unknown,may,unknown,no
59,management,divorced,tertiary,no,no,no,unknown,may,unknown,no
57,technician,married,primary,no,no,no,unknown,may,unknown,no
56,technician,divorced,unknown,no,yes,no,unknown,may,unknown,no
51,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
34,admin.,married,unknown,no,yes,no,unknown,may,unknown,no
43,services,married,secondary,no,yes,yes,unknown,may,unknown,no
52,technician,married,tertiary,no,no,yes,unknown,may,unknown,no
33,technician,single,secondary,no,yes,no,unknown,may,unknown,no
29,admin.,single,secondary,no,yes,yes,unknown,may,unknown,no
34,services,married,secondary,no,yes,yes,unknown,may,unknown,no
31,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
55,services,married,secondary,no,yes,no,unknown,may,unknown,yes
55,management,married,unknown,no,no,no,unknown,may,unknown,no
32,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
38,technician,single,secondary,no,yes,no,unknown,may,unknown,no
55,admin.,single,secondary,no,yes,yes,unknown,may,unknown,no
28,unemployed,single,tertiary,no,yes,no,unknown,may,unknown,no
23,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
32,technician,single,secondary,no,yes,no,unknown,may,unknown,no
43,services,single,unknown,no,no,no,unknown,may,unknown,no
32,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
46,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
53,housemaid,divorced,primary,no,yes,no,unknown,may,unknown,no
34,self-employed,single,secondary,no,yes,no,unknown,may,unknown,no
57,unemployed,married,tertiary,no,no,no,unknown,may,unknown,no
37,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
59,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
33,services,married,secondary,no,yes,no,unknown,may,unknown,no
56,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
48,unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
43,services,married,primary,no,yes,no,unknown,may,unknown,no
54,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
51,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
26,student,single,secondary,no,yes,no,unknown,may,unknown,no
40,management,married,tertiary,no,yes,no,unknown,may,unknown,no
39,management,married,secondary,no,yes,no,unknown,may,unknown,no
50,technician,married,primary,no,no,no,unknown,may,unknown,no
41,services,married,secondary,no,yes,no,unknown,may,unknown,no
51,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
60,retired,divorced,secondary,no,yes,no,unknown,may,unknown,no
52,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
48,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
48,services,married,unknown,no,yes,no,unknown,may,unknown,no
39,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
47,services,single,secondary,no,yes,no,unknown,may,unknown,no
40,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
45,technician,married,secondary,no,yes,no,unknown,may,unknown,no
26,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
52,management,married,tertiary,no,yes,no,unknown,may,unknown,no
54,technician,married,secondary,no,yes,no,unknown,may,unknown,no
54,admin.,married,tertiary,no,no,no,unknown,may,unknown,yes
50,blue-collar,married,primary,no,no,no,unknown,may,unknown,no
35,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
44,services,married,secondary,no,yes,yes,unknown,may,unknown,no
53,entrepreneur,married,unknown,no,yes,no,unknown,may,unknown,no
35,retired,single,primary,no,no,no,unknown,may,unknown,no
60,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
53,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
48,unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
34,technician,married,secondary,no,yes,no,unknown,may,unknown,no
54,services,married,secondary,no,yes,no,unknown,may,unknown,no
51,management,married,secondary,no,yes,no,unknown,may,unknown,no
31,services,married,tertiary,no,yes,no,unknown,may,unknown,no
35,technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
35,services,married,secondary,no,yes,no,unknown,may,unknown,no
38,technician,married,secondary,no,yes,no,unknown,may,unknown,no
36,admin.,married,tertiary,no,yes,no,unknown,may,unknown,no
58,retired,married,primary,no,yes,no,unknown,may,unknown,no
40,services,divorced,unknown,no,yes,no,unknown,may,unknown,no
54,management,married,secondary,no,no,no,unknown,may,unknown,no
34,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,no
31,management,single,tertiary,no,yes,no,unknown,may,unknown,no
51,retired,married,secondary,no,yes,no,unknown,may,unknown,no
33,management,married,tertiary,no,yes,no,unknown,may,unknown,no
55,management,married,tertiary,no,yes,no,unknown,may,unknown,no
42,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
34,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
33,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
38,services,married,secondary,no,yes,no,unknown,may,unknown,no
50,technician,divorced,tertiary,no,no,yes,unknown,may,unknown,no
43,management,married,tertiary,no,yes,no,unknown,may,unknown,no
61,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
47,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
48,self-employed,married,tertiary,no,yes,no,unknown,may,unknown,no
44,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
35,student,single,unknown,no,yes,no,unknown,may,unknown,no
35,services,married,secondary,no,yes,no,unknown,may,unknown,no
50,services,married,secondary,no,yes,no,unknown,may,unknown,no
41,management,married,tertiary,no,yes,yes,unknown,may,unknown,no
41,management,married,tertiary,no,yes,no,unknown,may,unknown,no
39,services,single,unknown,no,yes,no,unknown,may,unknown,no
42,retired,married,secondary,no,yes,no,unknown,may,unknown,no
38,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
53,retired,married,secondary,no,yes,no,unknown,may,unknown,no
59,housemaid,divorced,primary,no,no,no,unknown,may,unknown,no
36,services,married,secondary,no,yes,no,unknown,may,unknown,no
54,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
40,technician,married,tertiary,no,yes,no,unknown,may,unknown,no
47,unknown,married,unknown,no,no,no,unknown,may,unknown,no
53,unemployed,married,unknown,no,no,no,unknown,may,unknown,no
46,housemaid,married,primary,no,no,no,unknown,may,unknown,no
39,management,married,tertiary,no,yes,yes,unknown,may,unknown,no
40,unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
28,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
35,entrepreneur,divorced,secondary,no,yes,no,unknown,may,unknown,no
55,retired,married,secondary,no,no,yes,unknown,may,unknown,no
43,technician,divorced,unknown,no,yes,no,unknown,may,unknown,no
48,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
58,management,married,unknown,no,yes,no,unknown,may,unknown,no
33,management,single,tertiary,no,yes,no,unknown,may,unknown,no
36,blue-collar,married,unknown,no,no,no,unknown,may,unknown,no
53,services,divorced,secondary,no,yes,no,unknown,may,unknown,no
47,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
31,services,married,secondary,no,yes,no,unknown,may,unknown,no
57,entrepreneur,married,secondary,no,yes,no,unknown,may,unknown,no
53,blue-collar,married,unknown,no,no,no,unknown,may,unknown,no
55,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
45,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
53,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
37,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
44,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
49,blue-collar,divorced,primary,no,yes,yes,unknown,may,unknown,no
46,technician,married,secondary,no,yes,yes,unknown,may,unknown,no
43,entrepreneur,married,unknown,no,yes,no,unknown,may,unknown,no
38,admin.,married,secondary,no,no,no,unknown,may,unknown,no
43,technician,married,secondary,no,yes,no,unknown,may,unknown,no
49,management,married,tertiary,no,yes,no,unknown,may,unknown,no
42,management,married,unknown,no,no,no,unknown,may,unknown,no
22,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
40,management,married,tertiary,no,yes,no,unknown,may,unknown,no
39,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
51,services,married,secondary,no,yes,no,unknown,may,unknown,no
49,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
53,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
34,services,single,secondary,no,yes,no,unknown,may,unknown,no
33,technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
50,management,single,tertiary,no,yes,no,unknown,may,unknown,no
39,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
59,entrepreneur,divorced,secondary,no,yes,no,unknown,may,unknown,no
30,technician,single,secondary,no,yes,no,unknown,may,unknown,no
36,services,married,secondary,no,yes,yes,unknown,may,unknown,no
40,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
53,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
34,management,single,tertiary,no,yes,no,unknown,may,unknown,no
37,technician,married,secondary,no,yes,no,unknown,may,unknown,no
42,management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
41,entrepreneur,married,primary,no,yes,no,unknown,may,unknown,no
30,student,single,tertiary,no,yes,no,unknown,may,unknown,no
37,management,single,tertiary,no,yes,no,unknown,may,unknown,no
39,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
41,blue-collar,married,primary,no,yes,yes,unknown,may,unknown,no
40,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
42,management,single,tertiary,no,yes,yes,unknown,may,unknown,yes
40,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
57,technician,married,secondary,no,yes,no,unknown,may,unknown,no
56,entrepreneur,divorced,secondary,no,no,no,unknown,may,unknown,no
37,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
59,retired,married,secondary,no,yes,no,unknown,may,unknown,no
39,services,divorced,secondary,no,yes,no,unknown,may,unknown,no
49,services,married,secondary,no,no,no,unknown,may,unknown,no
38,services,single,secondary,no,yes,no,unknown,may,unknown,no
36,self-employed,married,tertiary,no,no,no,unknown,may,unknown,no
